feature,repeat,importance,fold,model
arterial_ph,2,0.001020352518040335,3,Histogram gradient boosting
glucose,1,0.0006654927960211832,3,Histogram gradient boosting
glucose,2,-2.545285511867945e-05,3,Histogram gradient boosting
blood_urea_nitrogen,1,0.001965151475940008,3,Histogram gradient boosting
blood_urea_nitrogen,2,0.0010084443233330798,3,Histogram gradient boosting
urine_output,1,0.0007805400753923553,3,Histogram gradient boosting
urine_output,2,0.0012585238826450795,3,Histogram gradient boosting
adl_patient_reported,1,0.030313223914726295,3,Histogram gradient boosting
adl_patient_reported,2,0.027568455121746327,3,Histogram gradient boosting
adl_surrogate_reported,1,0.0036928383177838864,3,Histogram gradient boosting
adl_surrogate_reported,2,0.004050951691097482,3,Histogram gradient boosting
sex,1,8.579784528850443e-05,3,Histogram gradient boosting
sex,2,0.00011955921275205728,3,Histogram gradient boosting
race,1,8.958980021872565e-05,3,Histogram gradient boosting
